ID / 사진명,연령,성별,내향/외향,감각/직관,사고/감정,판단/인식,형용사,per_id,형용사클러스터,컬러형용사
p_on_sa_w_40_0005,40~49,여성,-0.8999999999999999,1.7,3.5,0.0,화려한,on_w40_05,모던한,img_31
p_on_sa_m_50_0001,50~59,남성,1.1,2.0,3.0,1.1,편안한,on_m50_01,내츄럴한,img_20
p_on_sa_m_50_0002,50~59,남성,-0.5999999999999996,1.8,2.8,0.0,성숙한,on_m50_02,화려한,img_14
p_on_sa_m_50_0003,50~59,남성,1.7999999999999998,3.9,3.0,2.0,매끄러운,on_m50_03,온화한,img_27
p_on_sa_m_50_0004,50~59,남성,-0.3999999999999999,4.3,1.2,-0.7,하이테크한,on_m50_04,모던한,img_38
p_on_sa_m_50_0005,50~59,남성,-0.19999999999999973,4.0,2.0,0.8999999999999999,포근한,on_m50_05,내츄럴한,img_10
p_on_sa_w_50_0001,50~59,여성,1.2000000000000002,4.0,1.5,0.3999999999999999,간편한,on_w50_01,내츄럴한,img_25
p_on_sa_w_50_0002,50~59,여성,-0.5,1.0,3.0,0.0,성숙한,on_w50_02,화려한,img_14
p_on_sa_w_50_0003,50~59,여성,1.2000000000000002,3.6,4.8,1.7999999999999998,온화한,on_w50_03,온화한,img_23
p_on_sa_w_50_0004,50~59,여성,-0.3999999999999999,4.3,4.0,0.6000000000000001,넉넉한,on_w50_04,화려한,img_10
p_on_sa_w_50_0005,50~59,여성,-0.9999999999999998,4.7,2.0,0.7999999999999998,환상적인,on_w50_05,화려한,img_10
p_on_sa_m_60_0001,60대 이상,남성,1.2000000000000002,1.2,2.9,0.0,클래식한,on_m60_01,점잖은,img_25
p_on_sa_m_60_0002,60대 이상,남성,1.2000000000000002,3.1,2.3,1.0,편안한,on_m60_02,내츄럴한,img_24
p_on_sa_m_60_0003,60대 이상,남성,-0.7999999999999998,2.0,1.8,0.0,화려한,on_m60_03,모던한,img_31
p_on_sa_m_60_0004,60대 이상,남성,-0.8999999999999999,3.2,3.0,1.2000000000000002,감미로운,on_m60_04,내츄럴한,img_7
p_on_sa_w_60_0001,60대 이상,여성,-0.6999999999999997,2.8,3.3,1.0,환상적인,on_w60_01,화려한,img_7
p_on_sa_w_60_0002,60대 이상,여성,-0.3999999999999999,3.1,1.4,0.0,성숙한,on_w60_02,화려한,img_14
p_on_sa_w_60_0003,60대 이상,여성,-0.19999999999999973,2.3,4.2,1.7000000000000002,친근한,on_w60_03,내츄럴한,img_16
p_on_sa_w_60_0004,60대 이상,여성,0.5,2.0,2.0,0.10000000000000009,동양적인,on_w60_04,은은한,img_40
